index_term,alt_term
Flunitrazepam (Rohypnol®),542; Circles; Date Rape Drug; Forget Pill; La Rocha; Lunch Money; Mexican Valium; Mind Eraser; Pingus; R2; Reynolds; Roach; Roapies; Rochas; Roofies; Rope; Rophies; Ro-Shay; T rip-and-Fall; Wolfies
GHB (Gamma-Hydroxybutyric Acid),Blowout; Bruno Mars; Cherry Meth; Easy Lay; Everclear; Fantasy; G; Gamma Oh; GEEB; Georgia Home Boy; Goop; Great Hormones at Bedtime; Grievous Bodily Harm; G-Riffic; Gina; Jib; Liquid E; Liquid X; Monkey Juice; Organic Quaalude; Salty Water; Scoop; Soap; Water
Heroin,Abajo; A-Bomb (heroin mixed with marijuana); Achivia; Adormidera; Amarilla; Anestesia  de Caballo (heroin mixed with the horse anesthetic xylazine); Antifreeze; Apodo; Arpon; Aunt Hazel; Avocado; Azucar; Bad Seed; Baja Corte (diluted heroin); Ballot; Basketball; Basura; Beast; Beyonce; Big Bag; Big H; Big Harry; Bird; Birdie Powder; Birria; Birria Blanca; Black; Black Bitch; Black Goat; Black Olives; Black Paint; Black Pearl; Black Sheep; Black Shirt; Black Tar; Blanco; Blue; Blow Dope; Blue Hero; Bombita (heroin mixed with cocaine); Bombs Away; Bonita; Boy; Bozo; Brea Negra; Brick Gum; Brown; Brown Crystal; Brown Rhine; Brown Sugar; Bubble Gum; Burrito; Butter; Caballo; Caballo Negro; Caca; Café; Cajeta; Capital H; Cardio (white heroin); Carga; Caro; Cement; Certificada (pure heroin); Chapopote; Charlie; Charlie Horse; Chavo; Cheese; Chicle; Chiclosa; China; China Blanca  (white heroin); China Cat; China White; Chinese Buffet (white heroin); Chinese Food; Chinese Red; Chip; Chiva; Chiva Blanca; Chiva Loca (heroin mixed with fentanyl); Chiva Negra; Chivones; Chocolate; Chocolate Balls; Chocolate Shake; Choko; Chorizo; Churro Negro; Chutazo; Coco; Coffee; Cohete; Comida; Crown Crap; Curley Hair; Dark; Dark Girl; Dark Kind; Dead on Arrival (DOA); Diesel; Dirt; Dog Food; Doggie; Doojee; Dope; Dorado; Down; Downtown; Dragon; Dreck; Dynamite; Dyno; El Diablo; Engines; Enrique Grande; Esquina; Esquinilla; Fairy Dust; Flea Powder; Food (white heroin); Foolish Powder; Galloping Horse; Gamot; Gato; George Smack; Girl; Globo (balloon of heroin); Goat; Golden Girl; Good and Plenty; Good H; Goofball (heroin mixed with methamphetamine); Goma; Gorda; Gras; Grasin; Gravy; Gum; H; H-Caps; Hairy; Hard Candy; Hard One; Harry; Hats; Hazel; Heaven Dust; Heavy; Helen; Helicopter; Hell Dust; Henry; Hercules; Hero; Him; Hombre; Horse; Hot Dope; Huera; Hummers; Jojee; Joy Flakes; Joy Powder; Junk; Kabayo; Karachi; Karate; King’s Tickets; La Tierra; Lemonade; Lenta; Lifesaver; Manteca; Marias; Marrion; Mayo; Mazpan; Meal; Menthol; Mexican Brown; Mexican Food (black tar heroin); Mexican Horse; Mexican Mud; Mexican Treat; Modelo Negra; Mojo; Mole; Mongega; Morena; Morenita; Mortal Combat; Motors; Mud; Mujer; Murcielago; Muzzle; Nanoo; Negra; Negra Tomasa; Negrita; Nice and Easy; Night; Noise; Obama; Old Steve; Pants; Patty; Peg; P-Funk; Piezas; Plata; Poison; Polvo; Polvo de Alegria; Polvo de Estrellas; Polvo Feliz; Poppy; Powder; Prostituta Negra; Puppy; Pure; Rambo; Raw (uncut heroin); Red Chicken; Red Eagle; Reindeer Dust; Roofing Tar; Ruby; Sack; Salt; Sand; Scag; Scat; Schmeck; Scramble (uncut heroin); Sheep; Shirts; Shoes; Skag; Skunk; Slime; Smack; Smeck; Snickers; Soda; Speedball (heroin mixed with cocaine); Spider Blue; Sticky Kind; Stufa; Sugar; Sweet Jesus; Tan; Tar; Tecata; Thunder; Tires; Tomasa; Tootsie Roll; Tragic Magic; Trees; Turtle; Vidrio; Weights; Whiskey; White; White Boy; White Girl; White Junk; White Lady; White Nurse; White Shirt; White Stuff; Wings; Witch; Witch Hazel; Zapapote
"Hydrocodone (Norco®, Vicodin®, Lorcet®)","357s; Bananas; Dones , Dro; Droco; Fluff; Hydros; Idiot Pills; Lemonade; Lorries; Scratch; Tabs; Triple V (Vicodin® taken with Valium® and Vodka); Veeks; Vics; Vikes; Watsons"
Hydromorphone (Dilaudid®),D; Dillies; K4; Needle Candy
Ketamine (Ketalar®),Barry Farrell; Blind Squid; Cat Food; Cat Valium; Donkey; Green; Green K; Honey Oil; Jet; Jet K; K; Keller; Kelly’s Day; K-Hold; Kit Kat; Kitty Flip; K-Ways; Purple; Special K; Special La  Coke; Super Acid; Super C; Vitamin K; Wobble; Wonky
Khat,Abyssian Tea; African Salad; Catha; Chat; Kat; Oat
LSD (Lysergic Acid Diethylamide),"Aceite; Acelide; Acid; Acido; Alice; Angels in a Sky; Animal; Avandaro; Backbreaker (LSD mixed with strychnine); Barrel; Bart Simpson; Battery Acid; Beast; Big D; Black Acid (LSD mixed with PCP); Black Star; Black Sunshine; Black Tabs; Blanco de España; Blotter Acid; Blotter Cube; Blue Acid; Blue Barrel; Blue Chair; Blue Cheer; Blue Heaven; Blue Microdots; Blue Mist; Blue Moon; Blue Sky; Blue Star; Blue Tabs; Bomba; Brown Bomber; Brown Dots; California Sunshine; Cherry Dome; Chief; Chinese Dragons; Cid; Coffee; Colorines; Conductor; Contact Lens; Crackers; Crystal Tea; Cubo; Cupcakes; Dental Floss; Dinosaurs; Divina; Domes; Dots; Double Dome; El Cid; Electric Kool Aid; Elefante Blanco; Ellis Day; Fields; Flash; Flat Blues; Ghost; Golden Dragon; Golf Balls; Goofy; Gota; Grape Parfait; Green Wedge; Grey Shields; Hats; Hawaiian Sunshine; Hawk; Haze; Headlights; Heavenly Blue; Hits; Instant Zen; Jesus Christ Acid; Kaleidoscope; Leary; Lens; Lentejuela; Lime Acid; Live, Spit and Die; Lluvia de Estrellas; Looney Tunes; Lucy; Maje; Mellow Yellow; Mica; Microdot; Micropunto Azul (white tablet with drop of blue LSD); Micropunto Morado (white tablet with drop of purple LSD); Mighty Quinn; Mind Detergent; Mother of God; Mureler; Nave; Newspapers; Orange Barrels; Orange Cubes; Orange Haze; Orange Micros; Orange Wedges; Owsley; Paper Acid; Pearly Gates; Pellets; Phoenix; Pink Blotters; Pink Panthers; Pink Robots; Pink Wedges; Pink Witches; Pizza; Pop; Potato; Pure Love; Purple Barrels; Purple Haze; Purple Hearts; Purple Flats; Recycle; Royal Blues; Russian Sickles; Sacrament; Sandoz; Smears; Square Dancing Tickets; Sugar Cubes; Sugar Lumps; Sunshine; Superman; Tabs; Tacatosa; Tail Lights; Teddy Bears; Ticket; Uncle Sid; Valley Dolls; Vodka Acid; Wedding Bells; Wedge; White Dust; White Fluff; White Lightening; White Owsley; Window Glass; Window Pane; Yellow Dimples; Yellow Sunshine; Zen"
Marijuana,420; A-Bomb  (marijuana mixed with heroin); Acapulco Gold; Acapulco Red; Ace; African Black; African Bush; Airplane; Alfalfa; Alfombra; Alice B Toklas; All-Star; Almohada; Angola; Animal Cookies (hydroponic); Arizona; Ashes; Aunt Mary; AZ; Baby; Bale; Bambalachacha; Barbara Jean; Bareta; Bash; Bazooka (marijuana mixed with cocaine paste); BC Budd; Bernie; Bhang; Big Pillows; Biggy; Bionic (marijuana mixed with PCP); Black Bart; Black Gold; Black Maria; Blondie; Blue Cheese; Blue Crush; Blue Dream; Blue Jeans; Blue Sage; Blueberry; Bobo Bush; Boo; Boom; Branches; Broccoli; Bud; Budda; Burritos Verdes; Bush; Cabbage; Café; Cajita; Cali; Camara; Canadian Black; Catnip; Cheeba; Chernobyl; Cheese; Chicago Black; Chicago Green; Chippie; Chistosa; Christmas Tree; Chronic; Churro; Cigars; Citrol; Cola; Colorado Cocktail; Cookie (hydroponic); Cotorritos; Crazy Weed; Creeper Bud; Crippy; Crying Weed; Culican; Dank; Devils’s Lettuce; Dew; Diesel; Dimba; Dinkie Dow; Diosa Verde; Dirt Grass; Ditch Weed; Dizz; Djamba; Dody; Dojo; Domestic; Donna Juana; Doobie; Downtown Brown; Drag Weed; Dro (hydroponic); Droski (hydroponic); Dry High; Elefante Pata; Endo; Escoba; Fattie; Fine Stuff; Fire; Flower; Flower Tops; Fluffy; Fuzzy Lady; Gallina; Gallito; Garden; Garifa; Gauge; Gangster; Ganja; Gash; Gato; Ghana; Gigi (hydroponic); Giggle Smoke; Giggle Weed; Girl Scout Cookies (hydroponic); Gloria; Gold; Gold Leaf; Gold Star; Gong; Good Giggles; Gorilla; Gorilla Glue; Grand Daddy Purp; Grass; Grasshopper; Green; Green Crack; Green-Eyed Girl; Green Eyes; Green Goblin; Green Goddess; Green Mercedes Benz; Green Paint; Green Skunk; Greenhouse; Grenuda; Greta; Guardada; Gummy Bears; Gunga; Hairy Ones; Hash; Hawaiian; Hay; Hemp; Herb; Hierba; Holy Grail; Homegrown; Hooch; Hoja; Humo; Hydro; Indian Boy; Indian Hay; Jamaican Gold; Jamaican Red; Jane; Jive; Jolly Green; Jon-Jem; Joy Smoke; Juan Valdez; Juanita; Jungle Juice; Kaff; Kali; Kaya; KB; Kentucky Blue; KGB; Khalifa; Kiff; Killa; Kilter; King Louie; Kona Gold; Kumba; Kush; Laughing Grass; Laughing W eed; Leaf; Lechuga; Lemon-Lime; Leña; Liamba; Lime Pillows; Little Green Friends; Little Smoke; Llesca; Loaf; Lobo; Loco Weed; Loud; Love Nuggets; Love Weed; Lucas; M.J.; Machinery; Macoña; Mafafa; Magic Smoke; Manhattan Silver; Manteca; Maracachafa; Maria; Marimba; Mariquita; Mary Ann; Mary Jane; Mary Jones; Mary Warner; Mary Weaver; Matchbox; Matraca; Maui Wowie; Meg; Method; Mersh; Mexican Brown; Mexicali Haze; Mexican Green; Mexican Red; MMJ; Mochie (hydroponic); Moña; Monte; Moocah; Mootie; Mora; Morisqueta; Mostaza; Mota; Mother; Mowing the Lawn; Muggie; My Brother; Narizona; Northern Lights; Nug; O-Boy; OG; O.J.; Owl; Paja; Palm; Paloma; Palomita; Panama Cut; Panama Gold; Panama Red; Pakalolo; Parsley; Pasto; Pasture; Peliroja; Pelosa; Phoenix; Pine; Pink Panther; Pintura; Plant; Platinum Cookies (hydroponic); Platinum Jack; Pocket Rocket; Popcorn; Porro; Pot; Pretendo; Prop 215; Puff; Purple Haze; Purple OG; Queen Ann’s Lace; Red Hair; Ragweed; Railroad Weed; Rainy Day Woman; Rasta Weed; Red Cross; Red Dirt; Reefer; Reggie; Repollo; Righteous Bush; Root; Rope; Rosa Maria; Salt and Pepper; Santa Marta; Sasafras; Sativa; Shoes; Sinsemilla; Shmagma; Shora; Shrimp; Shwag; Skunk; Skywalker (hydroponic); Smoke; Smoochy Woochy Poochy; Smoke Canada; Sour OG; Spliff; Stems; Sticky; Stink Weed; Sugar Weed; Sweet Lucy; Tahoe (hydroponic); Tangy OG; Terp; Terpenes; Tex-Mex; Texas Tea; Tigitty; Tila; Tims; Top Shelf; Tosca; Train Wreck; Trees; Trinity OG; Tweeds; Valle; Wake and Bake; Weed; Weed Tea; Wet (marijuana dipped in PCP); Wheat; White-Haired Lady; Wooz; Yellow Submarine; Yen Pop; Yerba; Yesca; Young Girls; Zacate; Zacatecas; Zambi; Zip; Zoom (marijuana mixed with PCP)
Marijuana Concentrates/Hash Oil,710; BHNO; BHO; Black Glass; Bubble Hash; Budder; Butane Hash Oil; Butane Honey Oil; Caviar; CBD; CBD oil; Crystalline; Crumble; Dabs; Dipper; Ear Wax; Edibles; ENail; Errl; Extract; Full Melt; Glob; Gorilla Glue; Heady; Honey Oil; IWE; Ice Water Hash; Klear; Live Resin; Moon Rocks; Rosin; Rosin Tech; SAP; Sauce; Shatter; Solventless; Terp Sauce; THCA; THCA Crystal; THCA Crystalline; THCA Powder; Trichrome; Wax
Mescaline/Peyote,Big Chief; Black Button; Blue Caps; Britton; Buttons; Cactus; Green Button; Half Moon; Hikori; Hikuli; Hyatari; Love Flip (taken with Ecstasy); Media Luna; Mescal; Mescapade; Mezcakuba; Microdot; Moon; Nubs; San Pedro; Seni; Shaman; Topi; Tops
Methamphetamine,Accordion; Amp; Aqua; Arroz; Assembled (crystal meth); Batu; Begok; Biker’s Coffee; Blue; Blue Bell Ice Cream; Beers; Bottles; Bucio; Bud Light; Bump; Cajitas; Chalk; Chandelier; Chavalone; Chicken; Chicken Feed; Chicken Powder; Chris; Christine; Christy; Clear; Clothing Cleaner; Cold; Cold One; Colorado Rockies; Crank; Cream; Cri-Cri; Crink; Crisco; Crissy; Christy; Crypto; Crystal; Cuadro; Day; Diamond; Dunk; El Gata Diablo; Evil Sister; Eye Glasses; Fire; Fizz; Flowers; Foco; Food; Frio; Fruit; Gak; Garbage; G-Funk; Gifts; Girls; Glass; Go-Fast; Go-Go; Goofball (methamphetamine mixed with heroin); Groceries; Hard Ones; Hare; Hawaiian Salt; Hielo; Hiropon; Hot Ice; Hubbers; Ice; Ice Cream; Ice Water; Icehead; Jale; Jug of Water; L.A. Glass; L.A. Ice; Lemons; Lemon Drop; Light; Light Beige; Livianas; Madera; Mamph; Meth; Methlies Quick; Mexican Crack; Mexican Crank; Miss Girl; Montura; Motor; Muchacha; Nails; One Pot; No-Doze; Paint; Pantalones; Patudas; Peanut Butter Crank; Piñata; Pointy Ones; Pollito; Popsicle; Purple; Raspado; Rims; Rocket Fuel; Salt; Shabu; Shards; Shatter; Shaved Ice; Shiny Girl; Small Girl; Soap Dope; Soft Ones; Speed; Speed Dog; Spicy Kind; Spin; Stove Top; Stuff; Super Ice; Table; Tina; Tires; Trash; Truck; Tupperware; Tweak; Unassembled (powder meth); Uppers; Ventanas; Vidrio; Walking Zombie; Water; Wazz; White; Whizz; Windows; Witches Teeth; Yaba; Yellow Barn; Yellow Cake; Yellow Kind; Zip
"Methylphenidate (Ritalin®, Concerta®, Daytrana®)",Diet Coke; Jif; Johnny; Kibbles and Bits; Kiddie Cocaine; Kiddie Coke; MPH; Pineapple; Poor Man’s Cocaine; R-Ball; R-Pop; Rids; Rittys; Skippy; Skittles; Smarties; Study Buddies; Truck Drivers; Vitamin R
Morphine,Dreamer; First Line; God’s Drug; Joy Juice; Miss Emma; Monkey; Mister Blue; Morpho; Unkie; White Stuff
Opium,Ah-Pen-Yen; Auntie; Aunt Emma; Big O; Black; Black Pill; Black Russian (opium mixed with hashish); Chandoo; China; Chinese Molasses; Chinese Tobacco; Chocolate; Cruz; Dopium; Dover’s Powder; Dream Gum; Dream Stick; Dreams; Easing Powder; Fi-Do-Nie; Gee; God’s Medicine; Goma; Gondola; Goric; Great Tobacco; Gum; Guma; Hocus; Hops; Incense; Joy Plant; Midnight Oil; Mira; Ope; Opio; Pen Yan; Pin Gon; Pin Yen; Pox; Skee; Toxy; Toys; When-Shee; Zero
"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®)",30s; 40s; 512s; Beans; Blues; Buttons; Cotton; Greens; Hillbilly Heroin; Kickers; Killers; Muchachas; Mujeres; OC; Oxy; Oxy 80s; Roxy; Roxy Shorts; Whites
PCP (Phencyclidine),Ace; Alien Sex Fiend (PCP mixed with heroin); Amoeba; Angel; Angel Dust; Angel Hair; Angel Mist; Angel Poke; Animal Tranquilizer; Ashy Larry; Aurora Borealis; Bionic (PCP mixed with marijuana); Black Acid (PCP mixed with LSD); Black Whack; Blue Madman; Blue Star; Boat; Busy Bee; Butt Naked; Cadillac; Cliffhanger; Columbo; Cozmos; Crazy Coke; Crazy Eddie; Cucuy; Cyclones; Detroit Pink; Dipper; Domex (PCP mixed with MDMA); Dummy Dust; Dust; Dust Joint; Dust of Angels; Elephant; Elephant Tranquilizer; Embalming Fluid; Energizer; Fake STP; Flakes; Goon; Gorilla Tab; Gorilla Biscuits; Green Leaves; Green Tea; Heaven and Hell; Hog; Horse Tracks; Horse Tranquilizers; Jet Fuel; Juice; Kaps; K-Blast; Killer; Kools; Leaky Leak; Lemon 714; Lethal Weapon; Love Boat; Mad Dog; Mad Man; Magic Dust; Mean Green; Mint Leaf; Mint Weed; Mist; Monkey Dust; Monkey Tranquilizer; New Acid; New Magic; Orange Crystal; Ozone; Paz; Peace Pill; Peep; Peter Pan; Pig Killer; Puffy; Purple Rain; Red Devil; Rocket Fuel; Rupture; Scuffle; Sheets; Sherms; Shermstick; Space (PCP mixed with cocaine); Spores; Stardust; STP; Super Grass; Super Kools; Super Weed; Surfer; Synthetic Cocaine; Taking a Cruise; T-Buzz; Tic Tac; Tish; Trank; Venom; Wack (PCP mixed with cocaine); Water; Wet (marijuana dipped in PCP); White Horizon; Wobble Weed; Wolf; Worm; Yellow Fever; Zombie; Zoom (PCP mixed with marijuana)
Promethazine,Act; Drank; Juice; Lean; Orange Crush; Purple; Purple Drank; Rojo; Sizurup; Sizzurp; Skittles; Syrup; Velvet
Psilocybin Mushrooms,Alice; Blue Meanies; Boomers; Buttons; Caps; Champiñones; Cubes; God’s Flesh; Hongos; Lazers; Liberties; Liberty Caps; Little Smoke; Magic; Mushies; Musk; Pizza Toppings; Psilly Billy; Purple Passion; Silly Putty; Simple Simon; Stemmies; Tweezes
